user-id,location,age
67,framingham massachusetts usa,43.0
85,london england united kingdom,41.0
92,castellar del valles barcelona spain,20.0
99,franktown colorado usa,42.0
114,ligonier pennsylvania usa,57.0
176,london london united kingdom,34.0
178,rexford new york usa,28.0
183,porto porto portugal,27.0
237,plymouth minnesota usa,27.0
242,neuffen badenwuerttemberg germany,37.0
254,minneapolis minnesota usa,24.0
272,walla walla washington usa,20.0
384,bucuresti na romania,23.0
387,charity missouri usa,17.0
388,nashville tennessee usa,35.0
408,mountain view california usa,17.0
424,portland oregon usa,29.0
433,smock pennsylvania usa,48.0
440,brookfield wisconsin usa,16.0
444,sweet home oregon usa,40.0
486,portland oregon usa,31.0
500,san antonio texas usa,17.0
503,el centro california usa,40.0
505,washington dc usa,51.0
565,franklin tennessee usa,48.0
595,hollywood florida usa,17.0
625,marseille provence france,41.0
638,san diego california usa,20.0
643,grenoble rhonealpes france,23.0
651,interlachen florida usa,26.0
711,oxford england united kingdom,27.0
712,pratteln baselland switzerland,29.0
726,eatontown new jersey usa,31.0
730,albuquerque new mexico,69.0
735,cortland new york usa,29.0
741,novinger missouri usa,16.0
744,ocala florida usa,48.0
776,auckland na new zealand,23.0
805,sonoma california usa,34.0
809,commack new york usa,36.0
843,deer lodge tennessee usa,25.0
853,chesterfield michigan usa,24.0
882,berkeley california usa,23.0
900,scranton pennsylvania usa,25.0
901,worcester worcestershire united kingdom,21.0
914,griesheim hessen germany,51.0
915,humble texas usa,50.0
929,king of prussia ,36.0
989,san antonio texas usa,33.0
1009,delano minnesota usa,56.0
1025,maidstone england united kingdom,33.0
1063,edmonton alberta canada,19.0
1075,hurst texas usa,49.0
1113,richmond missouri usa,22.0
1116,calgary alberta canada,29.0
1129,bothell washington usa,53.0
1131,berkeley ,22.0
1155,smyrna georgia usa,22.0
1167,milwaukee wisconsin usa,25.0
1169,olympia washington usa,27.0
1184,la mirada california usa,38.0
1192,klang selangor malaysia,27.0
1211,rennes bretagne france,22.0
1254,16605 bennington ct indiana usa,26.0
1297,los gatos california usa,30.0
1331,lisboa na portugal,32.0
1348,sacramento california usa,43.0
1368,hopewell virginia usa,22.0
1372,frankfurt hessen germany,34.0
1399,york maine usa,41.0
1412,winstonsalem north carolina usa,47.0
1435,st louis missouri usa,36.0
1485,allendale new jersey usa,30.0
1548,brooklyn new york usa,28.0
1558,normal illinois usa,61.0
1585,albuquerque new mexico usa,29.0
1596,jackson tennessee usa,51.0
1608,collingswood new jersey usa,27.0
1674,minneapolis minnesota usa,26.0
1688,chelmsford england united kingdom,53.0
1705,plano texas usa,32.0
1706,olympia washington usa,26.0
1725,palma illes balears united kingdom,25.0
1733,independence west virginia usa,30.0
1790,chicago illinois usa,25.0
1812,provo utah usa,24.0
1848,bellingham washington usa,22.0
1850,sydney nsw australia,3.0
1900,kent ohio usa,51.0
1903,hualien taiwan taiwan,36.0
1928,kansas city missouri usa,17.0
2012,bray wicklow,34.0
2024,oakland california usa,34.0
2030,seabeck washington usa,31.0
2033,omaha nebraska usa,27.0
2036,frenchtown new jersey usa,49.0
2046,philadelphia missouri usa,22.0
2084,logroño la rioja spain,21.0
2090,dudley massachusetts usa,28.0
2103,minneapolis minnesota usa,43.0
2106,denver colorado usa,44.0
2115,escondido california usa,55.0
2134,oakland california usa,35.0
2139,chesapeake virginia usa,33.0
2179,sunderland massachusetts usa,30.0
2189,montreal quebec canada,24.0
