user-id,location,age
2,stockton california usa,18
8,timmins ontario canada,34
9,germantown tennessee usa,34
10,albacete wisconsin spain,26
12,fort bragg california usa,34
14,mediapolis iowa usa,34
20,langhorne pennsylvania usa,19
22,erfurt thueringen germany,34
23,philadelphia pennsylvania usa,34
26,bellevue washington usa,34
32,portland oregon usa,34
36,montreal quebec canada,24
39,cary north carolina usa,34
44,black mountain north carolina usa,51
53,tacoma washington usa,34
67,framingham massachusetts usa,43
69,vancouver british columbia canada,34
73,wentzville missouri usa,34
75,long beach california usa,37
81,santa cruz california usa,34
85,london england united kingdom,41
86,los angeles california usa,34
87,richardson texas usa,34
88,fayetteville georgia usa,34
92,castellar del valles barcelona spain,20
97,mechanicsburg pennsylvania usa,34
99,franktown colorado usa,42
102,barcelona na spain,34
107,lethbridge alberta canada,34
114,ligonier pennsylvania usa,57
129,bloomington minnesota usa,47
132,silver spring maryland usa,38
133,jacksonville florida usa,45
141,darien new york usa,34
151,darwin northern territory australia,34
162,newark delaware usa,34
165,olympia washington usa,62
176,london london united kingdom,34
178,rexford new york usa,28
183,porto porto portugal,27
185,baton rouge louisiana usa,17
199,austin texas usa,38
202,ottawa ontario canada,28
217,spencer massachusetts usa,34
228,ann arbor michigan usa,41
237,plymouth minnesota usa,27
241,auburn alabama usa,34
242,neuffen badenwuerttemberg germany,37
243,arden hills minnesota usa,34
244,college station texas usa,34
247,zografou athens greece,23
250,minneapolis minnesota usa,25
254,minneapolis minnesota usa,24
256,boston massachusetts usa,34
272,walla walla washington usa,20
273,snohomish washington usa,34
291,ft collins colorado usa,34
300,newport news virginia usa,34
313,rutherford new jersey usa,34
326,parkville missouri usa,34
327,dallas texas usa,34
332,lake oswego oregon usa,59
334,jyväskylä na finland,27
338,minneapolis minnesota usa,34
345,columbia tennessee usa,27
361,premià de dalt barcelona spain,25
362,thunder bay ontario canada,63
367,culver city california usa,45
376,fishers indiana usa,35
383,carmichael california usa,34
384,bucuresti na romania,23
387,charity missouri usa,17
388,nashville tennessee usa,35
392,barcelona catalunya spain,44
400,st louis missouri usa,34
406,madrid madrid spain,37
408,mountain view california usa,17
413,naperville illinois usa,17
424,portland oregon usa,29
430,silver spring maryland usa,34
431,ridgway pennsylvania usa,40
432,kansas city missouri usa,34
433,smock pennsylvania usa,48
435,naples florida usa,34
439,tiburon california usa,34
440,brookfield wisconsin usa,16
441,spokane washington usa,34
444,sweet home oregon usa,40
446,chevy chase dc usa,34
453,charleston west virginia usa,34
460,roma italy italy,34
463,rouse hill new south wales australia,20
469,corona california usa,18
472,livingston new jersey usa,34
475,vancouver british columbia canada,34
476,rome new york usa,34
479,iowa city iowa usa,34
483,shelton washington usa,72
486,portland oregon usa,31
487,houston texas usa,34
496,west salem wisconsin usa,51
500,san antonio texas usa,17
503,el centro california usa,40
505,washington dc usa,51
507,dumas arkansas usa,34
516,seattle washington usa,34
537,davis california,34
538,perryville missouri usa,26
565,franklin tennessee usa,48
566,springfield illinois usa,34
567,spokane washington usa,34
592,boston massachusetts usa,34
595,hollywood florida usa,17
596,san francisco california usa,49
619,long beach mississippi usa,34
620,toronto ontario canada,45
625,marseille provence france,41
638,san diego california usa,20
639,washington dc virginia usa,34
640,scotch village nova scotia canada,34
643,grenoble rhonealpes france,23
649,san diego california usa,34
650,santa cruz california usa,34
651,interlachen florida usa,26
683,union illinois usa,28
695,alphen aan den rijn zuid holland netherlands,34
698,palo alto california usa,34
707,san antonio texas usa,34
711,oxford england united kingdom,27
712,pratteln baselland switzerland,29
713,abingdon na united kingdom,49
714,austin texas usa,34
717,spring hill florida usa,34
724,jamestown california usa,34
726,eatontown new jersey usa,31
728,welsh louisiana usa,34
730,albuquerque new mexico,69
735,cortland new york usa,29
741,novinger missouri usa,16
744,ocala florida usa,48
746,longmont colorado usa,36
753,stockton california usa,34
757,philadelphia pennsylvania usa,29
758,duesseldorf na germany,34
759,primm springs tennessee usa,34
763,oakland california usa,34
771,ft sill oklahoma usa,38
776,auckland na new zealand,23
778,bradenton florida usa,34
780,woodland hills california usa,34
786,panhandle texas usa,48
790,chilliwack british columbia canada,34
791,sunnyvale california usa,34
795,edinburg texas usa,34
805,sonoma california usa,34
809,commack new york usa,36
811,zurich na switzerland,34
818,selangor southeast asia malaysia,34
827,mason city iowa usa,34
834,rockville maryland usa,17
843,deer lodge tennessee usa,25
850,bremen bremen germany,22
853,chesterfield michigan usa,24
861,san francisco california usa,34
876,hanover massachusetts usa,33
878,douglasville georgia usa,34
882,berkeley california usa,23
885,jacksonville texas usa,34
900,scranton pennsylvania usa,25
901,worcester worcestershire united kingdom,21
913,manchester lancs united kingdom,44
914,griesheim hessen germany,51
915,humble texas usa,50
924,grenoble isere france,29
929,king of prussia ,36
941,bend oregon usa,34
955,harrisburg ,34
973,eugene oregon usa,34
981,new york new york usa,34
989,san antonio texas usa,33
996,bellefonte pennsylvania usa,34
999,newark delaware usa,21
1003,tequesta florida usa,34
1009,delano minnesota usa,56
